Metric,140K,200K
Accuracy,0.99765,0.9674
Precision,0.999097382408986,0.9644276629570747
Recall,0.9962,0.9706
F1,0.9976465875519503,0.9675039872408293
AUC,0.99997363,0.9963137850000001
Specificity,0.9991,0.9642
Sensitivity,0.9962,0.9706
MCC,0.9953041852628985,0.9348191452921454
Kappa,0.9953,0.9348
Training_Time,1193.748511314392,1374.548612356186
Inference_Time,22.19156241416931,28.540854454040527
FPS,901.2434377865166,1401.4997366113264
