Metric,140K,200K
Accuracy,0.99795,0.966675
Precision,0.9981990995497749,0.96716552379999
Recall,0.9977,0.96615
F1,0.997949487371843,0.9666574951849721
AUC,0.9999689950000001,0.9963877350000001
Specificity,0.9982,0.9672
Sensitivity,0.9977,0.96615
MCC,0.9959001244875233,0.933350514509613
Kappa,0.9959,0.93335
Training_Time,1148.5072419643402,1451.9155695438385
Inference_Time,20.203655242919922,28.062881231307983
FPS,989.9198813050778,1425.3703912403166
