Metric,140K,200K
Accuracy,0.9976,0.9675
Precision,0.9984972951312362,0.9750533482369678
Recall,0.9967,0.95955
F1,0.9975978380542488,0.9672395544579406
AUC,0.9999674000000001,0.9965047200000001
Specificity,0.9985,0.97545
Sensitivity,0.9967,0.95955
MCC,0.9952016122279177,0.9351182110891814
Kappa,0.9952,0.935
Training_Time,1185.9002361297607,1407.3689556121826
Inference_Time,23.3181414604187,26.45191478729248
FPS,857.7012895281098,1512.1778639335414
