Metric,140K,200K
Accuracy,0.9984,0.962875
Precision,0.9985994397759104,0.964058348789413
Recall,0.9982,0.9616
F1,0.9983996799359872,0.9628276051966257
AUC,0.999981665,0.9957860812499999
Specificity,0.9986,0.96415
Sensitivity,0.9982,0.9616
MCC,0.9968000797440095,0.9257530098593661
Kappa,0.9968,0.92575
Training_Time,1197.966894865036,1430.744312286377
Inference_Time,24.508106470108032,32.41849160194397
FPS,816.0565168261177,1233.863700111248
