Metric,140K,200K
Accuracy,0.9974,0.96605
Precision,0.9983967935871744,0.958034398034398
Recall,0.9964,0.9748
F1,0.9973973973973974,0.9663444857496902
AUC,0.99996066,0.9961898312499999
Specificity,0.9984,0.9573
Sensitivity,0.9964,0.9748
MCC,0.9948019896059689,0.9322427606036632
Kappa,0.9948,0.9321
Training_Time,1208.8511633872986,1437.506484746933
Inference_Time,24.11767840385437,31.915931701660156
FPS,829.2672149075385,1253.2925679220996
