Metric,140K,200K
Accuracy,0.9967,0.9583
Precision,0.9967,0.95090515545061
Recall,0.9967,0.9665
F1,0.9967,0.9586391588970442
AUC,0.999840465,0.9909301974999999
Specificity,0.9967,0.9501
Sensitivity,0.9967,0.9665
MCC,0.9934,0.9167232892384626
Kappa,0.9934,0.9166
Training_Time,4004.7997720241547,6186.359428167343
Inference_Time,120.90257930755615,236.48253750801086
FPS,165.42244271830884,169.14568162837392
