Metric,140K,200K
Accuracy,0.998,0.9673
Precision,0.9968076616121309,0.9591726441977007
Recall,0.9992,0.97615
F1,0.9980023971234518,0.9675868563215543
AUC,0.999987855,0.99626876375
Specificity,0.9968,0.95845
Sensitivity,0.9992,0.97615
MCC,0.9960028684923918,0.9347464348253233
Kappa,0.996,0.9346
Training_Time,1216.9275133609772,1472.6406607627869
Inference_Time,25.179862022399902,32.109665393829346
FPS,794.2855279432462,1245.7308261981134
