Metric,140K,200K
Accuracy,0.99775,0.963775
Precision,0.9981983785406866,0.9747172322022621
Recall,0.9973,0.95225
F1,0.9977489870441699,0.9633526391663927
AUC,0.9999747050000001,0.995932465
Specificity,0.9982,0.9753
Sensitivity,0.9973,0.95225
MCC,0.9955004031777449,0.9277965030470515
Kappa,0.9955,0.92755
Training_Time,1221.679181098938,1434.6764414310455
Inference_Time,26.672696828842163,36.59170055389404
FPS,749.8304400315932,1093.1440571089624
