Metric,140K,200K
Accuracy,0.99785,0.9634
Precision,0.997999399819946,0.9668076961821296
Recall,0.9977,0.95975
F1,0.9978496774516178,0.9632659206102273
AUC,0.99997868,0.99565505
Specificity,0.998,0.96705
Sensitivity,0.9977,0.95975
MCC,0.9957000448065031,0.9268246955730247
Kappa,0.9957,0.9268
Training_Time,1188.2307546138763,1434.4672937393188
Inference_Time,23.33214044570923,31.823400735855103
FPS,857.186679744935,1256.936690456605
