Metric,140K,200K
Accuracy,0.99805,0.965475
Precision,0.9984986487839055,0.9706759694625613
Recall,0.9976,0.95995
F1,0.9980491221049472,0.9652831896226652
AUC,0.9999714049999999,0.99601383375
Specificity,0.9985,0.971
Sensitivity,0.9976,0.95995
MCC,0.996100403420745,0.9310068408665493
Kappa,0.9961,0.9309499999999999
Training_Time,1229.63658452034,1448.6252813339233
Inference_Time,28.185904026031494,37.62036061286926
FPS,709.5745441242088,1063.2540291577297
